,Subject_ID,Age_Months,LanguageExpEng,LanguageExpFr,LanguageExpOther,Other_Lang,Lang_Group,Gender,Mat_Edu_Years,Dom_Lang,PROD_Dom,PROD_NonDom,PROD_NonDom_ANOVA,COMP_Dom,COMP_NonDom,COMP_NonDom_ANOVA,COMP_Eng,COMP_Fr,PROD_Eng,PROD_Fr,PROD_Total,COMP_Total,@2A1Eng,@2A2Eng,@2A3Eng,@2A4Eng,@2A5Eng,@2A6Eng,@2A7Eng,@2A8Eng,@2A9Eng,@2A10Eng,@2A11Eng,@2A12Eng,@2C1Eng,@2C2Eng,@2C3Eng,@2C4Eng,@2C5Eng,@2C6Eng,@2C7Eng,@2C8Eng,@2C9Eng,@2C10Eng,@2C11Eng,@2C12Eng,@2C13Eng,@2C14Eng,@2C15Eng,@2C16Eng,@2C17Eng,@2D1Eng,@2D2Eng,@2D3Eng,@2D4Eng,@2D5Eng,@2D6Eng,@2D7Eng,@2D8Eng,@2D9Eng,@2D10Eng,@2D11Eng,@2D12Eng,@2D13Eng,@2E1Eng,@2E2Eng,@2E3Eng,@2E4Eng,@2E5Eng,@2E6Eng,@2E7Eng,@2E8Eng,@2E9Eng,@2E10Eng,@2E11Eng,@2E12Eng,@2E13Eng,@2E14Eng,@2E15Eng,CDI_2_Lang,@2A1Fr,@2A2Fr,@2A3Fr,@2A4Fr,@2A5Fr,@2A6Fr,@2A7Fr,@2A8Fr,@2A9Fr,@2A10Fr,@2A11Fr,@2A12Fr,@2C1Fr,@2C2Fr,@2C3Fr,@2C4Fr,@2C5Fr,@2C6Fr,@2C7Fr,@2C8Fr,@2C9Fr,@2C10Fr,@2C11Fr,@2C12Fr,@2C13Fr,@2C14Fr,@2C15Fr,@2C16Fr,@2C17Fr,@2D1Fr,@2D2Fr,@2D3Fr,@2D4Fr,@2D5Fr,@2D6Fr,@2D7Fr,@2D8Fr,@2D9Fr,@2D10Fr,@2D11Fr,@2D12Fr,@2D13Fr,@2E1Fr,@2E2Fr,@2E3Fr,@2E4Fr,@2E5Fr,@2E6Fr,@2E7Fr,@2E8Fr,@2E9Fr,@2E10Fr,@2E11Fr,@2E12Fr,@2E13Fr,@2E14Fr,@2E15Fr,A_SUM,C_SUM,D_SUM,E_SUM,CDE_SUM,Tot_End
1,1,13.53,74.5,25.5,0,NA,Bilingual,M,18,EN,1,2,2,91,23,23,91,23,1,2,3,114,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,2,8,18,40.35
2,2,14.74,0,100,0,NA,Monolingual,M,18,FR,4,NA,4,119,NA,119,NA,119,NA,4,4,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,9,15,6,7,28,64.91
3,3,15.18,36.55,63.45,0,NA,Bilingual,M,18,FR,14,10,10,151,45,45,45,151,10,14,24,196,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,10,15,3,10,28,66.67
4,4,14.29,0,100,0,NA,Monolingual,M,11,FR,2,NA,2,177,NA,177,NA,177,NA,2,2,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,6,12,3,9,24,52.63
5,5,14.48,2.5,90,7.5,Spanish,Monolingual,M,16,FR,7,NA,7,125,NA,125,NA,125,NA,7,7,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,7,0,6,13,31.58
6,6,15.39,30.5,69.5,0,NA,Bilingual,F,16,FR,59,1,1,89,1,1,1,89,1,59,60,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,10,15,10,10,35,78.95
7,7,14.10,56,44,0,NA,Bilingual,F,21,EN,14,0,0,291,202,202,291,202,14,0,14,493,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,9,10,6,9,25,59.65
8,8,14.61,42,58,0,NA,Bilingual,M,13,FR,14,14,14,163,126,126,126,163,14,14,28,289,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,9,6,1,8,15,42.11
9,9,15.00,5,95,0,NA,Monolingual,M,13,FR,11,NA,11,168,NA,168,NA,168,NA,11,11,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,7,10,7,5,22,50.88
10,10,14.42,26.7,73.3,0,NA,Bilingual,M,18,FR,8,3,3,65,39,39,39,65,3,8,11,104,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,7,8,3,7,18,43.86
11,12,13.84,60,40,0,NA,Bilingual,M,16,EN,21,16,16,107,69,69,107,69,21,16,37,176,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8,7,0,5,12,35.09
12,13,14.77,83,17,0,NA,Exposed,M,16,EN,24,10,10,178,72,72,178,72,24,10,34,250,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,11,17,1,14,32,75.44
